TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,TEAM_ABBREVIATION,G,WIDE_OPEN_FGA_FREQUENCY,WIDE_OPEN_FGM,WIDE_OPEN_FGA,WIDE_OPEN_FG_PCT,WIDE_OPEN_EFG_PCT,WIDE_OPEN_FG2A_FREQUENCY,WIDE_OPEN_FG2M,WIDE_OPEN_FG2A,WIDE_OPEN_FG2_PCT,WIDE_OPEN_FG3A_FREQUENCY,WIDE_OPEN_FG3M,WIDE_OPEN_FG3A,WIDE_OPEN_FG3_PCT,OPEN_FGA_FREQUENCY,OPEN_FGM,OPEN_FGA,OPEN_FG_PCT,OPEN_EFG_PCT,OPEN_FG2A_FREQUENCY,OPEN_FG2M,OPEN_FG2A,OPEN_FG2_PCT,OPEN_FG3A_FREQUENCY,OPEN_FG3M,OPEN_FG3A,OPEN_FG3_PCT
1610612757,Portland Trail Blazers,82,33,49,0.402,48.1,118.0,31.1,0.709,6.7,4.6,17.8,13.6,15.3,53.3,1,26,26,26,29,28,28,25,24,17,21,16,24,25,POR,81,0.22,8.38,19.2,0.437,0.606,0.034,1.86,2.96,0.629,0.186,6.52,16.23,0.402,0.293,11.89,25.6,0.464,0.565,0.133,6.74,11.62,0.58,0.16,5.15,13.99,0.368
1610612758,Sacramento Kings,82,48,34,0.585,48.4,116.0,32.9,0.731,7.0,3.4,16.3,12.7,11.5,53.5,1,7,7,7,12,24,15,6,20,29,12,6,1,26,SAC,82,0.193,7.1,17.2,0.413,0.586,0.024,1.13,2.16,0.525,0.169,5.96,15.04,0.397,0.289,11.72,25.7,0.456,0.555,0.13,6.65,11.55,0.576,0.159,5.07,14.15,0.359
1610612759,San Antonio Spurs,82,22,60,0.268,48.4,119.6,31.9,0.709,7.0,3.9,19.0,14.7,15.3,56.7,1,28,28,28,8,30,23,24,22,26,28,26,24,30,SAS,79,0.222,9.19,20.15,0.456,0.633,0.034,2.06,3.09,0.668,0.188,7.13,17.06,0.418,0.286,12.52,25.95,0.482,0.57,0.15,7.95,13.61,0.584,0.136,4.57,12.34,0.37
1610612760,Oklahoma City Thunder,82,40,42,0.488,48.4,113.2,32.3,0.693,8.2,4.2,14.8,15.5,11.9,50.7,1,19,19,19,8,13,21,28,4,22,2,30,2,16,OKC,82,0.22,8.22,19.49,0.422,0.603,0.021,1.15,1.87,0.614,0.199,7.07,17.62,0.401,0.275,10.54,24.35,0.433,0.533,0.11,5.66,9.7,0.584,0.166,4.88,14.66,0.333
1610612761,Toronto Raptors,82,41,41,0.5,48.3,113.1,30.3,0.721,9.4,5.2,14.5,11.4,15.1,49.1,1,17,17,17,18,11,30,15,1,9,1,1,23,11,TOR,82,0.231,8.44,19.05,0.443,0.624,0.029,1.56,2.38,0.656,0.202,6.88,16.67,0.413,0.278,10.52,22.91,0.459,0.553,0.126,6.24,10.41,0.6,0.152,4.28,12.5,0.342
1610612762,Utah Jazz,82,37,45,0.451,48.3,116.0,34.1,0.711,6.1,5.2,18.7,15.2,16.8,53.0,1,22,22,22,18,23,6,23,30,7,27,28,29,24,UTA,82,0.239,9.38,21.95,0.427,0.588,0.038,2.34,3.49,0.671,0.201,7.04,18.46,0.381,0.273,11.32,25.0,0.453,0.54,0.133,6.93,12.2,0.568,0.14,4.39,12.8,0.343
1610612763,Memphis Grizzlies,82,51,31,0.622,48.2,110.7,34.6,0.711,8.3,5.8,15.6,14.5,13.8,47.5,1,5,5,5,22,3,4,22,3,3,8,24,16,5,MEM,82,0.247,9.05,22.13,0.409,0.573,0.034,1.79,3.06,0.586,0.213,7.26,19.07,0.38,0.28,11.11,25.13,0.442,0.532,0.131,6.59,11.73,0.561,0.149,4.52,13.4,0.338
1610612764,Washington Wizards,82,35,47,0.427,48.2,114.9,34.2,0.724,6.8,5.2,17.0,14.3,13.7,51.5,1,23,23,23,25,21,5,13,23,9,18,21,15,20,WAS,82,0.207,7.54,18.55,0.406,0.565,0.031,1.66,2.82,0.589,0.175,5.88,15.73,0.374,0.282,11.52,25.29,0.456,0.554,0.134,6.57,12.06,0.545,0.147,4.95,13.23,0.374
1610612765,Detroit Pistons,82,17,65,0.207,48.3,117.8,31.3,0.702,7.0,3.8,18.1,14.8,13.5,54.0,1,30,30,30,18,27,26,27,20,27,23,27,13,28,DET,81,0.226,8.17,19.86,0.411,0.571,0.033,1.83,2.94,0.622,0.193,6.35,16.93,0.375,0.297,11.88,26.07,0.455,0.547,0.145,7.11,12.74,0.558,0.152,4.77,13.33,0.357
1610612766,Charlotte Hornets,82,27,55,0.329,48.4,114.7,33.5,0.717,7.7,5.2,16.9,14.3,12.2,52.8,1,27,27,27,12,20,10,19,9,8,16,21,3,22,CHA,82,0.231,8.7,20.74,0.419,0.587,0.032,1.74,2.84,0.614,0.199,6.95,17.9,0.388,0.286,11.55,25.65,0.45,0.537,0.146,7.12,13.07,0.545,0.14,4.43,12.57,0.352
